Source : https://data.sncf.com
Thème : Régularité des TGV
Périodicité : mensuelle
Début : 2012
Fin : 2015


La régularité est calculée lors de l’arrivée du train à la dernière gare de son parcours (terminus). Ce mode de calcul, qui n’intègre pas les gares intermédiaires, propose le retard cumulé sur l’ensemble d’un trajet.
L’indicateur utilisé est celui de la « régularité composite » : un train est considéré en retard s’il arrive cinq minutes après son heure prévue pour un trajet de moins de 1h30, dix minutes pour un trajet de 1h30 à 3h,
et quinze minutes pour un trajet de plus de 3h.Un train supprimé avant 16h la veille de sa circulation ne sera pas comptabilisé. En revanche, si l’annonce de sa suppression n’a pu être faite la veille avant 16h, 
le train sera bien comptabilisé comme un train supprimé, que cette suppression soit totale ou partielle (le train a effectué qu’une partie de son parcours).

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 | Année| Mois | Id Trajet | Id Gare de départ| Gare de départ                      | Id Gare d'arrivée| Gare d'arrivée                      | Nombre de TGV programmés | Nombre de TGV annulés | Nombre de TGV en retard|
*| 2012 | 1    | 070       | 033              | PARIS MONTPARNASSE                  | 017              | LAVAL                               | 241                      | 0                     | 19                     |
*| 2012 | 1    | 020       | 020              | LILLE                               | 021              | LYON PART DIEU                      | 309                      | 0                     | 29                     |
*| 2012 | 1    | 050       | 032              | PARIS LYON                          | 011              | CHAMBERY CHALLES LES EAUX           | 262                      | 0                     | 36                     |
*| 2012 | 1    | 013       | 013              | DOUAI                               | 034              | PARIS NORD                          | 207                      | 0                     | 26                     |
*| 2012 | 1    | 014       | 014              | DUNKERQUE                           | 034              | PARIS NORD                          | 109                      | 0                     | 8                      |
*| 2012 | 1    | 018       | 018              | LE CREUSOT MONTCEAU MONTCHANIN      | 032              | PARIS LYON                          | 217                      | 0                     | 30                     |
*| 2012 | 1    | 019       | 019              | LE MANS                             | 033              | PARIS MONTPARNASSE                  | 478                      | 0                     | 76                     |
*| 2012 | 1    | 065       | 033              | PARIS MONTPARNASSE                  | 002              | ANGERS SAINT LAUD                   | 446                      | 0                     | 25                     |
*| 2012 | 1    | 027       | 021              | LYON PART DIEU                      | 039              | RENNES                              | 31                       | 0                     | 1                      |
*| 2012 | 1    | 056       | 032              | PARIS LYON                          | 023              | MARSEILLE ST CHARLES                | 495                      | 0                     | 33                     |
*| 2012 | 1    | 032       | 024              | METZ                                | 031              | PARIS EST                           | 301                      | 0                     | 25                     |
*| 2012 | 1    | 041       | 031              | PARIS EST                           | 024              | METZ                                | 314                      | 0                     | 20                     |
*| 2012 | 1    | 066       | 033              | PARIS MONTPARNASSE                  | 003              | ANGOULEME                           | 331                      | 0                     | 19                     |
*| 2012 | 1    | 035       | 026              | MULHOUSE VILLE                      | 032              | PARIS LYON                          | 314                      | 0                     | 25                     |
*| 2012 | 1    | 036       | 027              | NANCY                               | 031              | PARIS EST                           | 301                      | 0                     | 15                     |
*| 2012 | 1    | 072       | 033              | PARIS MONTPARNASSE                  | 028              | NANTES                              | 592                      | 0                     | 36                     |
*| 2012 | 1    | 039       | 029              | NICE VILLE                          | 032              | PARIS LYON                          | 162                      | 0                     | 11                     |
*| 2012 | 1    | 046       | 032              | PARIS LYON                          | 004              | ANNECY                              | 207                      | 0                     | 13                     |
*| 2012 | 1    | 090       | 039              | RENNES                              | 033              | PARIS MONTPARNASSE                  | 577                      | 0                     | 45                     |
*| 2012 | 1    | 093       | 042              | ST PIERRE DES CORPS                 | 033              | PARIS MONTPARNASSE                  | 470                      | 0                     | 62                     |
*| 2012 | 1    | 095       | 043              | STRASBOURG                          | 031              | PARIS EST                           | 481                      | 1                     | 55                     |
*| 2012 | 1    | 099       | 047              | VALENCE ALIXAN TGV                  | 032              | PARIS LYON                          | 244                      | 0                     | 21                     |
*| 2012 | 1    | 047       | 032              | PARIS LYON                          | 006              | AVIGNON TGV                         | 395                      | 0                     | 35                     |
*| 2012 | 1    | 022       | 020              | LILLE                               | 034              | PARIS NORD                          | 625                      | 0                     | 84                     |
*| 2012 | 1    | 026       | 021              | LYON PART DIEU                      | 032              | PARIS LYON                          | 639                      | 0                     | 29                     |
*| 2012 | 1    | 028       | 022              | MACON LOCHE                         | 032              | PARIS LYON                          | 185                      | 0                     | 13                     |
*| 2012 | 1    | 031       | 023              | MARSEILLE ST CHARLES                | 032              | PARIS LYON                          | 480                      | 0                     | 15                     |
*| 2012 | 1    | 038       | 028              | NANTES                              | 043              | STRASBOURG                          | 54                       | 0                     | 3                      |
*| 2012 | 1    | 040       | 030              | NIMES                               | 032              | PARIS LYON                          | 373                      | 0                     | 32                     |
*| 2012 | 1    | 073       | 033              | PARIS MONTPARNASSE                  | 036              | POITIERS                            | 477                      | 0                     | 31                     |
*| 2012 | 1    | 062       | 032              | PARIS LYON                          | 040              | SAINT ETIENNE CHATEAUCREUX          | 118                      | 0                     | 15                     |
*| 2012 | 1    | 092       | 041              | ST MALO                             | 033              | PARIS MONTPARNASSE                  | 100                      | 0                     | 7                      |
*| 2012 | 1    | 096       | 044              | TOULON                              | 032              | PARIS LYON                          | 242                      | 0                     | 11                     |
*| 2012 | 1    | 078       | 033              | PARIS MONTPARNASSE                  | 045              | TOULOUSE MATABIAU                   | 149                      | 0                     | 17                     |
*| 2012 | 1    | 079       | 033              | PARIS MONTPARNASSE                  | 046              | TOURS                               | 190                      | 0                     | 27                     |
*| 2012 | 1    | 100       | 048              | VANNES                              | 033              | PARIS MONTPARNASSE                  | 176                      | 0                     | 12                     |
*| 2012 | 1    | 006       | 006              | AVIGNON TGV                         | 032              | PARIS LYON                          | 330                      | 0                     | 24                     |
*| 2012 | 1    | 007       | 007              | BELLEGARDE (AIN)                    | 032              | PARIS LYON                          | 264                      | 0                     | 32                     |
*| 2012 | 1    | 048       | 032              | PARIS LYON                          | 007              | BELLEGARDE (AIN)                    | 281                      | 0                     | 41                     |
*| 2012 | 2    | 068       | 033              | PARIS MONTPARNASSE                  | 010              | BREST                               | 167                      | 0                     | 9                      |
*| 2012 | 2    | 016       | 016              | LA ROCHELLE VILLE                   | 033              | PARIS MONTPARNASSE                  | 200                      | 1                     | 50                     |
*| 2012 | 2    | 019       | 019              | LE MANS                             | 033              | PARIS MONTPARNASSE                  | 443                      | 0                     | 116                    |
*| 2012 | 2    | 002       | 002              | ANGERS SAINT LAUD                   | 033              | PARIS MONTPARNASSE                  | 461                      | 0                     | 67                     |
*| 2012 | 2    | 029       | 023              | MARSEILLE ST CHARLES                | 020              | LILLE                               | 117                      | 0                     | 42                     |
*| 2012 | 2    | 024       | 021              | LYON PART DIEU                      | 023              | MARSEILLE ST CHARLES                | 577                      | 1                     | 197                    |
*| 2012 | 2    | 089       | 039              | RENNES                              | 021              | LYON PART DIEU                      | 77                       | 0                     | 13                     |
*| 2012 | 2    | 028       | 022              | MACON LOCHE                         | 032              | PARIS LYON                          | 172                      | 3                     | 24                     |
*| 2012 | 2    | 041       | 031              | PARIS EST                           | 024              | METZ                                | 294                      | 0                     | 22                     |
*| 2012 | 2    | 035       | 026              | MULHOUSE VILLE                      | 032              | PARIS LYON                          | 296                      | 1                     | 49                     |
*| 2012 | 2    | 004       | 004              | ANNECY                              | 032              | PARIS LYON                          | 194                      | 3                     | 22                     |
*| 2012 | 2    | 088       | 038              | REIMS                               | 031              | PARIS EST                           | 224                      | 1                     | 16                     |
*| 2012 | 2    | 062       | 032              | PARIS LYON                          | 040              | SAINT ETIENNE CHATEAUCREUX          | 99                       | 1                     | 17                     |
*| 2012 | 2    | 093       | 042              | ST PIERRE DES CORPS                 | 033              | PARIS MONTPARNASSE                  | 436                      | 0                     | 145                    |
*| 2012 | 2    | 095       | 043              | STRASBOURG                          | 031              | PARIS EST                           | 451                      | 1                     | 96                     |
*| 2012 | 2    | 096       | 044              | TOULON                              | 032              | PARIS LYON                          | 228                      | 0                     | 43                     |
*| 2012 | 2    | 063       | 032              | PARIS LYON                          | 044              | TOULON                              | 203                      | 1                     | 42                     |
*| 2012 | 2    | 097       | 045              | TOULOUSE MATABIAU                   | 033              | PARIS MONTPARNASSE                  | 109                      | 0                     | 36                     |
*| 2012 | 2    | 081       | 034              | PARIS NORD                          | 005              | ARRAS                               | 357                      | 1                     | 53                     |
*| 2012 | 2    | 007       | 007              | BELLEGARDE (AIN)                    | 032              | PARIS LYON                          | 255                      | 0                     | 37                     |
*| 2012 | 2    | 049       | 032              | PARIS LYON                          | 008              | BESANCON FRANCHE COMTE TGV          | 226                      | 0                     | 33                     |
*| 2012 | 2    | 067       | 033              | PARIS MONTPARNASSE                  | 009              | BORDEAUX ST JEAN                    | 583                      | 1                     | 106                    |
